,state_query,action_result
0,0,"50, 71, 4080, 4980, 9505, 10009"
1,1,"82, 630, 1246, 1351, 1474, 1858, 2888, 4425, 5328, 5329, 5393, 6393, 7031, 8590, 9396, 9505, 10252, 11010"
2,2,"1, 82, 8566"
3,3,"190, 1098, 2148, 2710, 5035, 5036, 5393, 5809, 6313, 6902, 6903, 9998, 10039"
4,4,"71, 1155, 2151, 4080, 5253, 5254, 5746, 6484, 8566, 8684, 8685, 9256"
5,5,"8, 31, 65, 71, 72, 81, 877, 878, 1437, 2151, 2170, 2452, 2692, 3003, 3004, 3455, 4980, 5641, 6398, 6484, 7225, 7918, 8091, 8131, 10160, 10386, 10668, 10815, 11347, 11455, 11478"
6,6,"58, 71, 72, 89, 779, 788, 1053, 1474, 1490, 1518, 1704, 1737, 1818, 1937, 2032, 2151, 2170, 2428, 2692, 2900, 3455, 5290, 5336, 5828, 6763, 7225, 7508, 7843, 8026, 8030, 8131, 8279, 8280, 8283, 8417, 8483, 8565, 8777, 8795, 9276, 9482, 9618, 9623, 9624, 10332, 10944, 11135"
7,7,"50, 4405, 4659, 8573, 9979, 9998"
8,8,"1152, 5002"
9,9,"71, 72, 310, 670, 1086, 1474, 1575, 1607, 1782, 2066, 2151, 2249, 2752, 3455, 3590, 4080, 4299, 4495, 4980, 5035, 5036, 5253, 5254, 5393, 5746, 5918, 6484, 6735, 6736, 7896, 7898, 8131, 8684, 8852, 9500, 9505, 9568, 9837, 9926, 9998, 10061, 10238, 10421, 11478"
10,10,"51, 58, 65, 71, 72, 860, 1737, 2692, 4405, 4980, 6484, 6778, 8030, 8685, 9256, 9926, 10654, 10727, 11271"
11,11,"71, 385, 4080, 4517, 9505"
12,12,"50, 8894, 10061"
13,13,"15, 50, 58, 90, 2284, 2568, 2569, 4617, 6399, 6575, 7210, 7457, 7458, 8566, 8571, 8906, 9256, 9285, 10009, 10772"
14,14,"481, 1516, 1582, 1931, 2429, 3737, 4059, 4225, 4835, 6370, 6472, 7508, 8496, 9711, 11111"
15,15,"4389, 4390"
16,16,"448, 8818, 9734"
17,17,"723, 2064, 3952, 5880, 7129, 7749, 9734, 10758, 10975"
18,18,"1, 50, 58, 59, 72, 82, 380, 1530, 1533, 5253, 5254, 8559, 8560, 8566, 9505"
19,19,"8, 65, 419, 1035, 1086, 1113, 1155, 1211, 1490, 1576, 2066, 2146, 2170, 2308, 2309, 2692, 2745, 2746, 4405, 4715, 4980, 5230, 5336, 5418, 5419, 5495, 5641, 5828, 6030, 6341, 6369, 7002, 7834, 7874, 8414, 8565, 9073, 9233, 9632, 9633, 9837, 10426, 10944, 11183, 11271, 11440"
20,20,"50, 58, 4405, 8573, 9256"
21,21,"58, 8566, 8894"
22,22,"71, 72, 81, 89, 784, 1086, 1155, 1279, 1533, 1782, 3455, 3592, 4224, 4405, 4980, 5253, 5254, 5874, 7843, 8408, 8874, 9276, 9998, 10061, 10238, 10426, 11478"
23,23,"12, 17, 24, 35, 1064, 1202, 1530, 2473, 4980, 8684, 8840, 8860, 8880, 9779, 9998, 10061"
24,24,50
25,25,"82, 777, 2859, 2896, 4405, 4413, 4414, 4428, 8871, 9317, 9979, 9998, 10051"
26,26,"35, 82, 8559, 8560, 10009, 10061"
27,27,"50, 71, 72, 89, 606, 1474, 1492, 1498, 1530, 1533, 1738, 1992, 1993, 2900, 4080, 5253, 5254, 7386, 7832, 8559, 8560, 8795, 8852, 9228, 9505, 11358"
28,28,"50, 4414, 8573, 9981, 9989, 9990, 9998, 10009, 10061"
29,29,2117
30,30,"71, 89, 310, 783, 1290, 1737, 1738, 2503, 2602, 4080, 4315, 4338, 4980, 8503, 8565, 8795, 9505, 9558, 9935, 9936"
31,31,"71, 72, 89, 770, 1474, 1530, 4080, 5253, 5254, 7843, 8112, 8113, 8795"
32,32,"380, 8415"
33,33,"2882, 2883, 9342, 9979, 10061"
34,34,"4402, 10009"
35,35,"35, 1533, 10061"
36,36,"4402, 5865, 5866, 6313, 9138, 10551"
37,37,"806, 2044, 2045, 4661, 9854"
38,38,"301, 1625, 5445, 6431, 6482, 7577, 8453, 9722, 9890"
39,39,2497
40,40,515
41,41,2625
42,42,"2489, 3643, 3644, 3645, 3892, 4193, 4884, 7414"
43,43,"5876, 6766, 9258, 9706"
44,44,10141
45,45,"1887, 10428"
46,46,"71, 79, 310, 483, 484, 670, 1076, 1782, 2021, 2151, 2170, 2338, 2361, 2406, 2407, 2571, 2734, 3191, 3412, 3413, 3977, 4980, 5253, 5254, 5543, 5730, 5784, 6020, 6398, 6404, 6802, 6840, 7778, 7896, 8090, 8106, 8131, 8432, 8446, 8515, 8852, 9035, 9318, 9440, 9837, 9867, 9926, 10386, 10421, 10497, 11478"
47,47,"4399, 5650, 8543"
48,48,"50, 9998, 10009"
49,49,"71, 1068, 1086, 1474, 1607, 1738, 2066, 2151, 2636, 5918, 8291, 9888, 9926, 10421, 10615"
50,50,"492, 687, 1634, 1635, 2888, 6024, 7898, 8106, 8131"
51,51,"5253, 5254, 5343, 7831, 7832"
52,52,"1068, 3590, 6313, 9986, 9998, 10551"
53,53,"25, 50, 56, 7016, 10009"
54,54,"50, 6628, 10009"
55,55,55
