,state_query,action_result
0,0,"1, 50, 71, 444, 4434, 10009, 10506"
1,1,8590
2,2,"1, 82, 4434, 10009"
3,3,"4402, 5718, 6328, 7752, 8325, 10544, 10605, 10730, 11290"
4,4,"1, 71, 385, 1142, 1317, 4151, 4468, 9285, 9483, 9505"
5,5,"31, 71, 72, 1068, 1437, 1896, 2151, 2806, 3758, 3759, 4980, 5918, 10080, 10826, 11290"
6,6,"2, 71, 72, 89, 1019, 1216, 1474, 1815, 2714, 3339, 5499, 5918, 8359, 8696, 10741, 10944, 11358, 11501"
7,7,"17, 706, 4659, 6586, 10021, 11446"
8,8,"3863, 5574, 6399, 7247, 9285, 9599, 10506"
9,9,"90, 385, 1990, 2956, 4468, 5035, 5036, 5718, 5918, 6582, 7278, 7306, 8325, 8543, 9322, 9621, 9622, 9630, 10009, 11358"
10,10,"1, 50, 72, 82, 9256, 9505, 10009"
11,11,"385, 4468, 8543, 11358"
12,12,"25, 50, 2896, 9295, 9337, 10009, 10061"
13,13,"15, 50, 4402, 4617, 6575, 8906, 10009"
14,14,"1582, 1931, 4225, 4835, 6472, 8496"
15,15,"17, 24, 50, 2625, 4389, 4390, 4413, 4414, 4434, 6604, 7523, 8871, 9340, 10009"
16,16,"16, 293, 8627, 8628, 10454"
17,17,757
18,18,"1, 82, 1317, 4434, 6399, 8559, 8560, 9285, 10506, 11290"
19,19,"1, 21, 71, 770, 1109, 1110, 1370, 1738, 6393, 10009, 11259"
20,20,"15, 50, 10009"
21,21,8569
22,22,"13, 89, 444, 4402, 4434, 5037, 5038, 6582, 8559, 8560, 9285, 9621, 9622, 10009, 10030, 11290"
23,23,"17, 24"
24,24,"50, 10009"
25,25,"82, 2896, 4434, 9979, 10051"
26,26,"35, 82, 3930, 6399, 6724, 7154, 7155, 7324, 8379, 8380, 8559, 8560, 10009"
27,27,"1495, 1533, 7832, 9505, 9558, 11358"
28,28,"17, 50, 4434, 8573, 10009"
29,29,"2117, 10725"
30,30,"75, 385, 3082, 4102, 9558, 10009"
31,31,"1, 71, 89, 4080, 5253, 5254, 10045, 11358"
32,32,"82, 4065, 4411, 6429, 8415, 11358"
33,33,"32, 10042"
34,34,"25, 4062, 4402, 10009"
35,35,1351
36,36,6333
37,37,9854
38,38,"5235, 10422"
39,39,"1803, 10142"
40,40,"1192, 3947, 4039, 10181, 11441"
41,41,"24, 4648"
42,42,7549
43,43,3860
44,44,10141
45,45,2909
46,46,"8325, 9619, 9890, 10298"
47,47,"4399, 8543"
48,48,"50, 4434, 10009"
49,49,"385, 1068, 1738, 2636, 2824, 4066, 5918, 6582, 9558, 9763"
50,50,"313, 8317, 8325, 10277"
51,51,"643, 3185, 7832, 10506"
52,52,"37, 408, 1068, 1351, 1519, 1738, 3485, 3895, 4082, 4399, 4402, 5729, 5865, 5866, 5918, 6313, 6314, 6328, 6393, 6444, 8325, 9337, 9813, 9986, 10551, 11215"
53,53,"3789, 3790, 7016, 10029"
54,54,"25, 1351, 6628, 7365, 10009"
55,55,"55, 56"
56,56,"50, 1676, 4402, 8975, 9285, 9505, 9558, 10009"
57,57,"4434, 10009"
58,58,"1, 15, 50, 58, 71, 82, 90, 4402, 8569, 9285, 9505, 10009"
59,59,5516
60,60,"4399, 5865, 5866, 6328, 6333, 8543, 10730, 11203, 11249"
61,61,"59, 64, 82, 1068, 1738, 4065, 4066, 5918, 6393, 8559, 8560, 9320, 9322, 9558, 9724, 10955"
62,62,"50, 3339, 4411, 4434, 6628"
63,63,"13, 64, 75, 1068, 1738, 1990, 2515, 2535, 3493, 3494, 4082, 5810, 5918, 6393, 8325, 9268, 9320, 9558, 9621, 9622, 10009, 10281, 10585, 11358, 11471"
64,64,"64, 4174, 4175, 4176, 9320"
65,65,"4468, 8543"
66,66,"66, 1740, 2565, 2730, 2956, 3323, 5650, 5808, 5918, 8325, 8543, 9785, 9955, 10730, 11229, 11243"
67,67,"184, 1990, 3080, 3543, 9865, 10761"
68,68,"385, 8325"
69,69,"75, 2117, 2638, 4402, 8325, 8542, 10773"
70,70,"1990, 6797, 6798, 7742, 10281"
71,71,"25, 55, 4399, 4402, 9337, 10009"
72,72,10009
73,73,"50, 9239, 10567"
74,74,"82, 444, 4468, 5918, 6582, 8387, 8795, 9505, 9994, 9998, 10009, 10061, 10272, 11358"
75,75,"1, 72, 89, 259, 260, 330, 1104, 1105, 1351, 1533, 2204, 2289, 3803, 3957, 5035, 5036, 6399, 7291, 8206, 8207, 9228, 10161, 10560, 11082, 11160, 11276"
76,76,"2117, 10725"
77,77,"812, 950, 9763, 9788"
78,78,"1, 606, 1538, 1555, 1573, 1738, 4042, 6425, 7291, 7443, 8776, 9371"
79,79,"1068, 3957, 9322, 9763, 11358"
80,80,10009
81,81,"71, 444, 1474, 1896, 2823, 5918, 7797, 11160"
82,82,"2728, 2729, 6611, 6612, 6613, 7722, 11019"
83,83,4402
84,84,"50, 4617, 10009"
85,85,"1, 17, 50, 72, 2122, 2123, 4980, 6637, 7772, 8573, 8874, 9998, 10009, 10061"
86,86,"1, 82, 5035, 5036, 8559, 8560, 9505, 11290, 11358"
87,87,"5, 469, 3729, 9683"
88,88,"9033, 9558, 10281, 10298"
89,89,4399
90,90,"72, 90, 91, 1275, 1736, 2823, 9322"
91,91,"2376, 3758, 3759, 5708, 9630, 9733, 9909, 10850"
92,92,"7665, 7686, 7708, 9743"
93,93,"1676, 2404, 3070, 4492, 9427"
94,94,"7665, 7686, 7708, 9743"
95,95,"1676, 2404, 3070, 4492, 9427"
96,96,96
97,97,7686
98,98,"294, 1158, 3794, 3795, 6443, 7365, 7752, 9195, 11273"
99,99,7686
100,100,"646, 819, 1175, 1676, 2181, 2233, 3079, 4512, 4513, 5247, 6755, 7979, 8188, 8206, 8207, 8995, 9434, 9542, 10286"
101,101,"99, 107, 7665, 7686, 8848"
102,102,"259, 260, 646, 1104, 1105, 1495, 1676, 1869, 5404, 7094, 8206, 8207, 9204, 9237, 9615, 10742"
103,103,"259, 260, 646, 1104, 1105, 1495, 1676, 1869, 5404, 7094, 8206, 8207, 9204, 9237, 9615, 10742"
104,104,"104, 152, 7708"
105,105,"96, 104, 107, 3989, 7274"
106,106,"96, 104, 107, 3989, 7274"
107,107,"104, 107, 7708"
108,108,7686
109,109,"2, 28, 89, 104, 109, 3002, 3007, 3034, 7665, 9371"
110,110,"807, 819, 1037, 1056, 8942"
111,111,"643, 768, 1142, 2273, 5247, 5430, 6120, 7365, 8198, 8212, 8672, 9483, 9948"
112,112,"807, 819, 1037, 1056, 8942"
113,113,"643, 768, 1142, 2273, 5247, 5430, 6120, 7365, 8198, 8212, 8672, 9483, 9948"
114,114,9712
115,115,"385, 1158"
116,116,"5665, 5666, 5667"
117,117,9712
118,118,"385, 1158"
119,119,"5665, 5666, 5667"
120,120,9712
121,121,"385, 1158"
122,122,"5665, 5666, 5667"
123,123,"1164, 4468, 9552"
124,124,"96, 7686, 9702, 9743"
125,125,"97, 7686, 7694"
126,126,"385, 1158, 1676, 1738, 1896, 4512, 4513, 5037, 5038, 7752, 8206, 8207, 8543, 9558, 10281, 10730, 11471"
127,127,7686
128,128,"97, 3123, 9702"
129,129,"385, 1158, 1676, 4468, 8206, 8207, 9266, 9615"
130,130,"129, 130, 596, 1209, 9495"
131,131,"817, 6095"
132,132,"4239, 7734, 9580"
133,133,96
134,134,"1140, 8428, 10281, 10287"
135,135,96
136,136,"1140, 8428, 10281, 10287"
137,137,"96, 152"
138,138,"1676, 5810, 8543, 9615, 10730"
139,139,"1495, 1676, 1870, 8325, 9037"
140,140,"385, 433, 1158, 5247"
141,141,"294, 9195, 9483"
142,142,"385, 433, 1158, 5247"
143,143,"294, 9195, 9483"
144,144,"2824, 5918"
145,145,107
146,146,107
147,147,7715
148,148,7686
149,149,"97, 3803, 7686, 7708"
150,150,"3423, 3989, 6772, 6773, 10114, 10986, 11093"
151,151,"96, 104, 107, 4057, 7665, 7686, 9712"
152,152,"96, 97, 104, 152"
153,153,"385, 1440, 1738, 4468, 5808, 6461, 7926, 9621, 9622, 10730, 10955, 11229"
154,154,"89, 4402, 4468, 8569, 8580, 9337, 10009"
155,155,"72, 606, 1068, 1738, 4449, 4468, 7665, 8198, 9252, 9630, 9909"
156,156,"2435, 2442, 4987, 5798, 7928, 9621, 9622, 10955"
157,157,"385, 1676, 6755, 8975, 9010, 10281"
158,158,"604, 3628, 3629, 7665"
159,159,"1275, 1676, 1738, 1896, 3493, 3494, 3688, 3758, 3759, 3947, 4042, 7227, 9204, 9558, 9615, 9621, 9622, 9630, 9909, 10281, 10955"
160,160,"107, 7665"
161,161,"96, 145, 152"
162,162,"1495, 1676, 4042, 7386"
163,163,"1495, 1676, 4042, 7386"
164,164,"1738, 1915, 4066, 4468, 5454, 5455, 9621, 9622, 10955, 11132"
165,165,"1859, 1896, 2824, 3493, 3494, 3957, 4066, 7274"
166,166,"245, 247, 7752"
167,167,"1676, 5368, 10114"
168,168,"1676, 5810, 7559, 8325, 8543"
169,169,"385, 1109, 1110, 1158, 1738, 5786, 5787, 5918, 8325, 9621, 9622, 11352"
170,170,"245, 247, 7752"
171,171,"1676, 5368, 10114"
172,172,"1676, 5810, 7559, 8325, 8543"
173,173,"385, 1109, 1110, 1158, 1738, 5786, 5787, 5918, 8325, 9621, 9622, 11352"
174,174,"245, 247, 7752"
175,175,"1676, 5368, 10114"
176,176,"1676, 5810, 7559, 8325, 8543"
177,177,"385, 1109, 1110, 1158, 1738, 5786, 5787, 5918, 8325, 9621, 9622, 11352"
178,178,"245, 247, 7752"
179,179,"1676, 5368, 10114"
180,180,"1676, 5810, 7559, 8325, 8543"
181,181,"385, 1109, 1110, 1158, 1738, 5786, 5787, 5918, 8325, 9621, 9622, 11352"
182,182,"247, 11290"
183,183,3339
184,184,3339
185,185,"244, 6162, 6163"
186,186,"244, 770, 1145, 2715, 4969, 9719, 10509"
187,187,5742
188,188,"2039, 3294, 6213"
189,189,"2039, 3294, 6213"
190,190,"2956, 3930, 4402, 5843, 8325, 8975, 10010, 11471"
191,191,1676
192,192,221
193,193,247
194,194,"3080, 9007"
195,195,"3080, 9007"
196,196,"244, 272"
197,197,7805
198,198,247
199,199,"244, 247"
200,200,"196, 1368, 7887, 7888, 10221"
201,201,"2, 202, 221, 247, 468, 1158, 1835, 2714, 4315, 7306, 9724, 10768, 11290"
202,202,"247, 276, 2559"
203,203,"247, 276, 2559"
204,204,"245, 1738, 1896, 3211, 3758, 3759, 10775, 11347"
205,205,"1068, 1495, 1935"
206,206,"1068, 1495, 1935"
207,207,247
208,208,2996
209,209,247
210,210,"221, 247, 468, 11290"
211,211,"3302, 7615, 9595"
212,212,"5083, 5084, 8447"
213,213,247
214,214,"244, 247"
215,215,247
216,216,"221, 247, 8975"
217,217,247
218,218,10281
219,219,247
220,220,10281
221,221,247
222,222,"247, 10045, 10281"
223,223,"247, 7015"
224,224,247
225,225,247
226,226,247
227,227,"1158, 2233, 6008, 10279"
228,228,"11037, 11049, 11055"
229,229,247
230,230,"1158, 2233, 6008, 10279"
231,231,"11037, 11049, 11055"
232,232,247
233,233,"1158, 2233, 6008, 10279"
234,234,"11037, 11049, 11055"
235,235,247
236,236,"1158, 2233, 6008, 10279"
237,237,"11037, 11049, 11055"
238,238,"244, 2265"
239,239,6997
240,240,"658, 10509"
241,241,247
242,242,247
243,243,"10281, 10331"
244,244,"244, 247, 2056, 2265"
245,245,245
246,246,"245, 1676, 7094, 7752"
247,247,247
248,248,247
249,249,"269, 273, 2328, 2710, 4946, 5881, 7718, 10509"
250,250,"247, 812, 1207, 4969, 9542, 10205"
251,251,"1750, 2404, 3918, 4492, 10114"
252,252,"385, 1676, 4468, 4512, 4513, 7752, 9542, 9558, 10286, 10955"
253,253,"247, 812, 1207, 4969, 9542, 10205"
254,254,"1750, 2404, 3918, 4492, 10114"
255,255,"385, 1676, 4468, 4512, 4513, 7752, 9542, 9558, 10286, 10955"
256,256,"247, 812, 1207, 4969, 9542, 10205"
257,257,"1750, 2404, 3918, 4492, 10114"
258,258,"385, 1676, 4468, 4512, 4513, 7752, 9542, 9558, 10286, 10955"
259,259,"5795, 10899"
260,260,"385, 1158, 1738, 1798, 3082, 5354, 6772, 6773, 7909, 8206, 8207, 9169, 9371, 10312, 10585"
261,261,"281, 1676, 4468, 7540, 10841, 11352, 11471"
262,262,247
263,263,247
264,264,"1676, 2233, 2383, 4512, 4513, 6089"
265,265,245
266,266,"259, 260, 1738, 3957, 8795, 11290"
267,267,"247, 10509"
268,268,247
269,269,247
270,270,"247, 269"
271,271,204
272,272,272
273,273,"245, 5454, 5455"
274,274,"245, 281"
275,275,247
276,276,"221, 247"
277,277,"247, 385, 1158, 1738, 8942, 10718"
278,278,247
279,279,"245, 247, 259, 260, 783, 1738, 8995, 9204"
280,280,"245, 247, 259, 260"
281,281,"245, 385, 1104, 1105, 1175, 1275, 1676, 1738, 1798, 1896, 3688, 7540, 7752, 8206, 8207, 9204, 9615, 9621, 9622, 11276"
282,282,"247, 1158, 2233"
283,283,294
284,284,"720, 1676, 2181, 2233, 2956, 4150, 4512, 4513, 5810, 8325, 9021"
285,285,"8325, 10730, 11249"
286,286,"385, 1676, 2404, 4468, 8543, 11249"
287,287,"7996, 9814"
288,288,"1620, 4512, 4513, 10279, 10281, 11389"
289,289,290
290,290,290
291,291,"1016, 1676, 3930, 4787, 8216, 8455, 9434, 10836"
292,292,"71, 89, 1068, 1151, 1158, 1437, 1474, 1573, 1631, 1705, 1738, 1896, 1921, 2151, 2342, 2968, 3455, 3940, 4214, 4512, 4513, 5739, 5918, 6425, 6432, 6510, 6897, 7469, 8216, 8318, 9343, 9926, 9944, 10847, 11290"
293,293,290
294,294,"290, 294, 6333"
295,295,"707, 1158, 1631, 5834"
296,296,290
297,297,"3289, 4098, 4399"
298,298,"8325, 9037, 10277"
299,299,"8325, 9037, 10277"
300,300,8603
301,301,"313, 8632, 10077, 10078, 10281"
302,302,"1676, 3796, 5810"
303,303,10281
304,304,"1158, 1676, 5810, 8325"
305,305,290
306,306,290
307,307,290
308,308,"1068, 1551, 7438, 11031"
309,309,"1032, 1676, 1802, 2404, 6740, 9615"
310,310,8325
311,311,"289, 313, 385, 469, 783, 1676, 1738, 1798, 1896, 2359, 3446, 3447, 3448, 5454, 5455, 8503, 9033, 9500, 9505, 9618, 9621, 9622, 11132, 11145"
312,312,"313, 5810, 8325"
313,313,"294, 6333"
314,314,8342
315,315,1676
316,316,"289, 317, 385, 519, 720, 783, 1019, 1151, 1175, 1676, 2537, 4190, 4503, 4512, 4513, 5718, 7306, 8503, 9033, 9621, 9622, 9630"
317,317,"289, 317, 385, 720, 1676, 2730, 3446, 3447, 3448, 4468, 4503, 4512, 4513, 4517, 9621, 9622, 9630, 11358"
318,318,"1057, 1137, 2489, 8489"
319,319,"1528, 2750, 8325, 8543"
320,320,"5810, 8325, 9161, 10730"
321,321,"6113, 8318, 10077, 10078, 10281"
322,322,"4468, 4512, 4513"
323,323,"1676, 4468, 5368, 9434"
324,324,"343, 361, 377, 385, 3289, 10281"
325,325,"367, 368, 1370, 3338, 9508, 9509"
326,326,"351, 3278, 3289"
327,327,"3278, 3289"
328,328,"247, 1317, 3289"
329,329,329
330,330,"812, 950, 1317, 4066, 6755, 9763, 11290"
331,331,"343, 361, 3957, 3966, 11290, 11385"
332,332,"3957, 11290"
333,333,"1158, 1317, 3289"
334,334,"395, 396, 489, 1202, 1634, 1635, 1835, 2151, 3289, 3462, 3463, 4179, 5746, 5791, 6818, 7457, 7458, 7606, 7772, 7790, 8226, 8276, 8740, 8741, 9236, 9505, 10318, 10841"
335,335,"1430, 1479, 2435, 3947, 4066, 5454, 5455"
336,336,"7015, 7154, 7155, 9434"
337,337,"343, 361, 385, 1173, 1317, 1487, 2354, 2956, 4468, 4517, 6755, 6797, 6798, 7909, 9505, 9724"
338,338,"2435, 3947"
339,339,351
340,340,"361, 367, 368, 377"
341,341,"142, 143, 362, 367, 368, 377, 5026, 5027, 8559, 8560, 11290"
342,342,"345, 361, 367, 368, 377, 5037, 5038, 7752"
343,343,"361, 367, 368, 377, 5037, 5038, 7752, 8252"
344,344,"385, 1158, 1676, 7752, 8975"
345,345,"142, 143, 343, 361, 367, 368, 1631, 8632, 8975, 9724"
